Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2022,corolla cross v 1.8,99800.0,1062.0,50028.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",compact suv,https://www.carsome.my/buy-car/toyota/corolla-cross/2022-toyota-corolla-cross-v-1.8/cbap400,Toyota
2017,civic tc vtec premium 1.5,78900.0,1052.0,83935.0,A,"carsome pj automall, selangor 14,748.1 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2017-honda-civic-tc-vtec-premium-1.5/ctmo400,Honda
2021,avanza s 1.5,63900.0,700.0,42178.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",family drive,https://www.carsome.my/buy-car/toyota/avanza/2021-toyota-avanza-s-1.5/ca7q400,Toyota
2018,saga executive 1.3,26600.0,264.0,79280.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-executive-1.3/cido400,Proton
2022,x50 executive 1.5,67400.0,739.0,53925.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-executive-1.5/cavo400,Proton
2017,myvi g 1.3,32800.0,411.0,86495.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-g-1.3/cfap400,Perodua
2023,myvi av 1.5,53400.0,585.0,29310.0,A,"carsome showroom alor setar, kedah 14,468.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-av-1.5/ce2q400,Perodua
2020,n-box custom g l 0.7,85800.0,844.0,30627.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",daily drive,https://www.carsome.my/buy-car/honda/n-box-custom/2020-honda-n-box-custom-g-l-0.7/chip400,Honda
2023,axia advance 1.0,40900.0,416.0,32519.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2023-perodua-axia-advance-1.0/c31o400,Perodua
2017,axia g 1.0,27400.0,365.0,106874.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/c63p400,Perodua
2018,alza ez 1.5,43000.0,478.0,114631.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cnsp400,Perodua
2020,hr-v i-vtec rs 1.8,79000.0,866.0,94185.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-rs-1.8/csbq400,Honda
2018,bezza advance premium 1.3,35400.0,425.0,108092.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-advance-premium-1.3/cxpn400,Perodua
2017,hr-v i-vtec v 1.8,56000.0,747.0,144123.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-v-1.8/cl5p400,Honda
2018,cx-5 skyactiv-g gls 2.0,81800.0,911.0,108379.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/ccyp400,Mazda
2015,harrier elegance 2.0,85000.0,1084.0,95924.0,A,"carsome pj automall, selangor 14,748.1 km
          away",compact suv,https://www.carsome.my/buy-car/toyota/harrier/2015-toyota-harrier-elegance-2.0/ckpr400,Toyota
